ID,Accuracy,PlaceInOrder,condition
02JO85,0.7272727272727273,1,gamified
07az26,0.78125,1,gamified
08MA21,0.71875,2,gamified
09HA13,0.7741935483870968,1,gamified
10PE77,0.7058823529411765,1,gamified
11LK66,0.7741935483870968,2,gamified
15JO96,0.631578947368421,2,gamified
17BE17,0.5833333333333334,2,gamified
17HE69,0.8,1,gamified
19RA95,0.55,1,gamified
21EL67,0.696969696969697,2,gamified
27JA04,0.6875,1,gamified
28CO38,0.7931034482758621,1,gamified
29MA29,0.96,2,gamified
2BR68,0.7058823529411765,2,gamified
2MA07,0.7419354838709677,2,gamified
